code	name
600110	诺德股份
600228	*ST昌九
603689	皖天然气
600459	贵研铂业
600301	ST南化
601101	昊华能源
603020	爱普股份
600576	万家文化
603133	碳元科技
600155	宝硕股份
600104	上汽集团
600557	康缘药业
603688	石英股份
603178	圣龙股份
603066	音飞储存
600767	*ST运盛
600083	博信股份
600898	三联商社
603067	振华股份
600497	驰宏锌锗
600395	盘江股份
600533	栖霞建设
603336	宏辉果蔬
600367	红星发展
603936	博敏电子
603085	天成自控
603668	天马科技
600493	凤竹纺织
603203	快克股份
601699	潞安环能
603611	诺力股份
603519	立霸股份
603738	泰晶科技
600410	华胜天成
603208	江山欧派
603505	金石资源
603322	超讯通信
600711	盛屯矿业
600121	*ST郑煤
600321	国栋建设
603701	德宏股份
603031	安德利
600633	浙数文化
600405	动力源
600362	江西铜业
600538	国发股份
603360	百傲化学
601212	白银有色
603089	正裕工业
603881	数据港
002850	科达利
002349	精华制药
002812	创新股份
000983	西山煤电
002460	赣锋锂业
002466	天齐锂业
000060	中金岭南
300127	银河磁体
002289	宇顺电子
300539	横河模具
002340	格林美
002552	宝鼎科技
002848	高斯贝尔
002679	福建金森
002685	华东重机
002196	方正电机
002074	国轩高科
300381	溢多利
300474	景嘉微
002709	天赐材料
002836	新宏泽
300438	鹏辉能源
300263	隆华节能
002732	燕塘乳业
002050	三花智控
002853	皮阿诺
002786	银宝山新
002645	华宏科技
300520	科大国创
002458	益生股份
300525	博思软件
002802	洪汇新材
002157	正邦科技
002719	麦趣尔
300535	达威股份
002813	路畅科技
300049	福瑞股份
002407	多氟多
002820	桂发祥
002300	太阳电缆
300549	优德精密
002139	拓邦股份
300451	创业软件
002791	坚朗五金
300336	新文化
300508	维宏股份
300264	佳创视讯
300626	华瑞股份
300625	三雄极光
002182	云海金属
600540	*ST新赛
600549	厦门钨业
603232	格尔软件
600338	西藏珠峰
603929	亚翔集成
603828	柯利达
603800	道森股份
600508	上海能源
600158	XD中体产
603536	N惠发
603767	N中马
603819	神力股份
600845	宝信软件
603799	华友钴业
603009	北特科技
600971	恒源煤电
603568	伟明环保
601388	怡球资源
603166	福达股份
603022	新通联
600695	绿庭投资
603788	宁波高发
600326	西藏天路
600704	物产中大
600961	株冶集团
603033	三维股份
603330	上海天洋
603041	美思德
603558	健盛集团
603955	大千生态
603528	多伦科技
600592	龙溪股份
603026	石大胜华
603496	恒为科技
603042	华脉科技
603580	艾艾精工
600212	江泉实业
600563	法拉电子
603117	万林股份
600107	美尔雅
603200	上海洗霸
601168	西部矿业
600884	杉杉股份
603861	白云电器
603993	洛阳钼业
600885	宏发股份
603777	来伊份
603991	至正股份
603886	元祖股份
600006	东风汽车
603903	中持股份
600080	金花股份
600259	广晟有色
600381	青海春天
601689	拓普集团
603266	天龙股份
600081	东风科技
600638	新黄浦
600135	乐凯胶片
603885	DR吉祥航
603690	至纯科技
603416	信捷电气
600213	亚星客车
600877	*ST嘉陵
603421	鼎信通讯
600423	*ST柳化
601020	华钰矿业
603078	江化微
600746	江苏索普
603169	兰石重装
601127	小康股份
603028	赛福天
600764	中电广通
603186	华正新材
603977	国泰集团
600980	北矿科技
603239	浙江仙通
603797	联泰环保
603538	美诺华
600546	山煤国际
600409	三友化工
603037	凯众股份
603999	读者传媒
600444	国机通用
600232	金鹰股份
600331	宏达股份
600773	西藏城投
603798	康普顿
600330	天通股份
603036	如通股份
600848	上海临港
603887	城地股份
603320	迪贝电气
600152	维科精华
603319	湘油泵
603030	全筑股份
600188	兖州煤业
600714	金瑞矿业
603328	依顿电子
603090	宏盛股份
300665	N飞鹿
300035	中科电气
300354	东华测试
300073	当升科技
300663	科蓝软件
002806	华锋股份
300537	广信材料
300546	雄帝科技
300536	农尚环境
300014	亿纬锂能
300611	美力科技
002871	伟隆股份
300409	道氏技术
002695	煌上煌
002877	智能自控
300568	星源材质
002722	金轮股份
300608	思特奇
300661	圣邦股份
300505	川金诺
002771	真视通
002805	丰元股份
002824	和胜股份
002847	盐津铺子
300019	硅宝科技
300141	和顺电气
300162	雷曼股份
300412	迦南科技
300515	三德科技
300555	路通视信
300648	星云股份
300618	寒锐钴业
300655	晶瑞股份
300657	弘信电子
002346	柘中股份
300619	金银河
300579	数字认证
300662	科锐国际
002878	元隆雅图
300037	新宙邦
300585	奥联电子
002842	翔鹭钨业
300224	正海磁材
300416	苏试试验
300153	科泰电源
002835	同为股份
000507	珠海港
002395	双象股份
002296	辉煌科技
002497	雅化集团
002828	贝肯能源
000762	西藏矿业
002780	三夫户外
002620	瑞和股份
000927	一汽夏利
300534	陇神戎发
300547	川环科技
300489	中飞股份
002234	民和股份
300559	佳发安泰
002676	顺威股份
300506	名家汇
300581	晨曦航空
300610	晨化股份
002125	湘潭电化
002108	沧州明珠
002577	雷柏科技
002036	联创电子
300444	双杰电气
002148	北纬通信
300422	博世科
002825	纳尔股份
002782	可立克
002830	名雕股份
002176	江特电机
000639	西王食品
300383	光环新网
000995	*ST皇台
000933	神火股份
000595	*ST宝实
300631	久吾高科
300465	高伟达
000088	盐 田 港
002647	民盛金科
300040	九洲电气
000558	莱茵体育
300332	天壕环境
000957	中通客车
000510	金路集团
002005	德豪润达
002338	奥普光电
000878	云南铜业
300499	高澜股份
300481	濮阳惠成
